Gene Name,Diff,Imm,Mes,Pro
ANGPT2,-3.1156,-1.1566,2.3803,1.4918
ANGPT4,2.3247,-0.1163,-2.7976,0.737
ANGPTL2,-6.8432,-4.5446,18.6576,-3.1554
ANGPTL3,1.6747,0.9532,-1.7113,-0.7013
ANGPTL4,0.7479,-1.0309,3.769,-3.3071
ANGPTL7,-0.4501,-1.7545,1.2786,0.7729
ANK1,2.0059,-3.028,-1.7319,2.6718
ANK2,0.2608,-2.1747,-2.6103,4.3372
ANK3,4.198,-2.4138,-3.7002,2.0972
ANKFY1,-1.8048,1.3553,1.2082,-0.821
ANKMY1,6.2864,-2.4516,-4.3609,1.0833
ANKMY2,-1.0552,-2.9933,0.9057,2.7945
ANKRA2,0.5683,1.8622,-0.8531,-1.3822
ANKRD1,-0.3507,-5.3389,4.547,0.7784
ANKRD10,-1.8307,-1.3396,1.7872,1.1167
ANKRD11,2.2344,-3.8365,-1.0416,2.5203
ANKRD12,-0.2094,-0.3411,1.9809,-1.3966
ANKRD15,2.5588,2.8683,-0.6298,-4.3224
ANKRD17,-0.3312,-0.105,1.8095,-1.3442
ANKRD2,1.1578,0.7217,0.8496,-2.5084
ANKRD25,-0.8251,-4.4971,4.4619,0.5668
ANKRD26,-1.6385,-2.6612,-0.639,4.5898
ANKRD27,-1.8637,2.2531,-0.8714,0.41
ANKRD28,1.7869,1.6933,0.0675,-3.2143
ANKRD40,-4.8747,3.7643,-0.1077,0.8581
ANKRD46,-1.5697,-0.7175,0.4147,1.6361
ANKRD47,-0.2178,-1.1453,2.483,-1.1183
ANKRD49,-0.9264,1.515,-0.7902,0.1841
ANKRD5,1.6713,2.3329,-6.1276,2.0263
ANKRD55,0.3573,1.4539,-1.4567,-0.2505
ANKRD57,1.1153,-2.7778,0.9233,0.6586
ANKRD6,2.4329,4.309,-3.499,-2.6923
ANKRD7,-3.0935,-1.4931,-2.8374,7.1964
ANKS1A,-0.8971,-2.0972,-1.4165,4.1451
ANKS1B,1.3966,-2.281,-3.167,3.9315
ANKZF1,2.4731,-2.2402,-3.6538,3.3814
ANP32B,-0.5985,-0.5212,-1.6786,2.6302
ANP32C,0.3578,0.4214,-1.7893,1.0101
ANP32E,-2.9076,0.3648,-2.063,4.253
ANPEP,4.0523,3.1557,1.7567,-8.7688
ANTXR1,-5.0918,-5.1631,16.4145,-3.1118
ANXA1,4.2748,0.8346,5.0416,-10.2872
ANXA10,1.6136,6.8324,-4.2475,-3.3829
ANXA11,2.0531,0.0083,2.4098,-4.186
ANXA13,3.0565,-0.3762,-0.1566,-2.165
ANXA2,-0.1979,-0.6443,8.0845,-6.7622
ANXA3,-1.0334,-1.4006,1.0375,1.1927
ANXA4,1.4141,1.3392,1.0472,-3.5195
ANXA5,-4.3133,-0.0597,6.6234,-2.2716
ANXA6,-5.4244,-4.1254,5.4762,3.2657
ANXA7,0.2547,4.5668,1.252,-5.7379
ANXA9,5.2128,-1.4299,-0.9064,-2.2495
AOAH,-3.6254,10.0575,5.5271,-11.9249
AOC2,1.565,1.1409,-3.043,0.4689
AOC3,-3.5153,-2.7443,12.9065,-4.9355
AOF2,-5.0688,-1.6839,-1.084,7.3638
AOX1,0.5699,-1.6977,3.1561,-1.9465
AP1B1,-0.4127,6.0858,2.4161,-7.8454
AP1G1,-2.8767,2.9535,-0.999,0.7756
AP1G2,2.9205,-0.2984,-4.2888,1.7628
AP1M2,2.5821,0.8325,-1.5381,-1.5391
AP1S1,0.6716,1.1456,-2.682,0.9108
AP1S2,-7.8362,4.0661,6.9977,-3.6558
AP2A2,-0.6422,-1.3706,3.0829,-1.1021
AP2B1,-2.6683,-0.3228,1.7667,0.9254
AP2M1,-0.477,0.9189,2.4409,-2.7736
AP2S1,-5.1304,1.99,2.669,-0.0094
AP3B1,-1.9161,-1.7615,2.6464,0.7655
AP3B2,1.1262,-2.1425,-3.6814,4.5571
AP3D1,1.1685,-1.1197,1.0787,-1.0319
AP3M2,-2.1026,-1.5924,-2.399,5.8199
AP3S1,-2.6503,0.949,3.7814,-2.1366
AP3S2,1.0526,-0.1516,-1.3214,0.482
AP4E1,0.4496,1.8018,2.8382,-4.8893
AP4M1,-1.2009,-0.2119,-1.93,3.1276
AP4S1,-2.4159,2.2639,-0.4395,0.4617
APAF1,-2.9927,-0.9035,0.9779,2.5022
APBA1,2.216,-1.1462,-0.3518,-0.5425
APBA2,-2.787,-5.3853,2.7016,4.7398
APBA2BP,1.9151,-0.0129,-3.1094,1.2877
APBA3,-1.8269,2.5665,1.3151,-2.0054
APBB1,-0.4819,-3.1489,0.3312,2.9872
APBB1IP,-1.2236,9.6844,5.5168,-15.2007
APBB2,-4.2075,-3.1423,5.9633,0.9848
APBB3,2.6067,-0.2137,-0.9224,-1.1856
APC,-0.8461,-1.7807,3.3858,-0.8298
APC2,2.9252,-0.6746,-1.9806,-0.0257
APCS,3.2256,0.4401,-1.8657,-1.4109
